Country Name,Country Code,Year,Tertiary_Enrollment_Gross
Malaysia,MYS,2015,44.289909239243
North America,NAC,2015,86.8131408691406
Namibia,NAM,2015,19.6551504993361
Niger,NER,2015,3.24257822413642
Netherlands,NLD,2015,80.1601486206055
Norway,NOR,2015,79.206428527832
Nepal,NPL,2015,12.282886814704
New Zealand,NZL,2015,82.1818466186523
OECD members,OED,2015,72.0236282348633
Oman,OMN,2015,45.1898945959512
Other small states,OSS,2015,19.3875293731689
Pakistan,PAK,2015,8.43556648904153
Panama,PAN,2015,47.5819435584313
Philippines,PHL,2015,35.8745887819664
Poland,POL,2015,69.3731994628906
Pre-demographic dividend,PRE,2015,8.25500011444092
Puerto Rico (US),PRI,2015,100.706557185143
"Korea, Dem. People's Rep.",PRK,2015,27.9393501281738
Portugal,PRT,2015,61.7960205078125
West Bank and Gaza,PSE,2015,46.0871831764203
Pacific island small states,PSS,2015,19.5440101623535
Post-demographic dividend,PST,2015,77.5960006713867
Qatar,QAT,2015,15.9339905308662
Romania,ROU,2015,49.3609886169434
Russian Federation,RUS,2015,84.2355651240256
Rwanda,RWA,2015,7.53124856448318
South Asia,SAS,2015,25.3642196655273
Saudi Arabia,SAU,2015,57.0892771397236
Sudan,SDN,2015,15.8645696640015
Senegal,SEN,2015,10.8409366679467
El Salvador,SLV,2015,27.3929262374809
Serbia,SRB,2015,58.2876892089844
Sub-Saharan Africa (excluding high income),SSA,2015,8.83637046813965
Sub-Saharan Africa,SSF,2015,8.83660984039307
Small states,SST,2015,19.9418296813965
Sao Tome and Principe,STP,2015,12.8210802078247
Slovak Republic,SVK,2015,52.7206687927246
Slovenia,SVN,2015,82.1997833251953
Sweden,SWE,2015,66.4283218383789
Sint Maarten (Dutch part),SXM,2015,7.93456032719836
Seychelles,SYC,2015,16.4973007303906
Syrian Arab Republic,SYR,2015,47.8358993530273
Turks and Caicos Islands,TCA,2015,12.3809523809524
Chad,TCD,2015,3.22750677590433
East Asia & Pacific (IDA & IBRD countries),TEA,2015,41.5367698669434
Europe & Central Asia (IDA & IBRD countries),TEC,2015,66.5678024291992
Togo,TGO,2015,10.8146472215817
Thailand,THA,2015,45.713134717198
Tajikistan,TJK,2015,26.0669097900391
Latin America & the Caribbean (IDA & IBRD countries),TLA,2015,48.3502616882324
South Asia (IDA & IBRD),TSA,2015,25.3642196655273
Sub-Saharan Africa (IDA & IBRD countries),TSS,2015,8.83660984039307
Tunisia,TUN,2015,33.373851776123
Turkiye,TUR,2015,95.5645065307617
Tanzania,TZA,2015,3.98361077132501
Ukraine,UKR,2015,76.8646556476929
Upper middle income,UMC,2015,46.6499481201172
Uruguay,URY,2015,57.7897211461691
United States,USA,2015,88.8894119262695
Uzbekistan,UZB,2015,8.05320814639575
St. Vincent and the Grenadines,VCT,2015,23.6186294555664
British Virgin Islands,VGB,2015,40.3414634146341
Viet Nam,VNM,2015,29.7250797402999
World,WLD,2015,36.6130981445312
South Africa,ZAF,2015,19.0332949537661
Zimbabwe,ZWE,2015,11.0489020370076
Aruba,ABW,2016,17.1416206359863
Africa Eastern and Southern,AFE,2016,8.57314014434814
Africa Western and Central,AFW,2016,9.26937007904053
Angola,AGO,2016,9.78287696232453
Albania,ALB,2016,58.4884791901189
Andorra,AND,2016,15.2011095700416
Arab World,ARB,2016,29.9698600769043
Argentina,ARG,2016,86.6743832906399
Armenia,ARM,2016,54.3432877365993
Australia,AUS,2016,119.682777404785
Austria,AUT,2016,82.8496932983398
Azerbaijan,AZE,2016,27.2368629930846
Burundi,BDI,2016,3.97908916361797
Belgium,BEL,2016,77.2435073852539
Benin,BEN,2016,11.9529895782471
Burkina Faso,BFA,2016,5.40541465878063
Bangladesh,BGD,2016,17.3985207411042
Bulgaria,BGR,2016,80.6399612426758
Bahrain,BHR,2016,46.7631772606016
Bosnia and Herzegovina,BIH,2016,56.9546089172363
Belarus,BLR,2016,91.5206757734477
Belize,BLZ,2016,24.4760136680388
Brazil,BRA,2016,48.9665794372559
Barbados,BRB,2016,52.0533712473342
Brunei Darussalam,BRN,2016,28.6644096374512
Botswana,BWA,2016,22.6605855291776
Canada,CAN,2016,69.2459411621094
Central Europe and the Baltics,CEB,2016,63.742748260498
Switzerland,CHE,2016,61.1939888000488
Chile,CHL,2016,88.8458862304688
China,CHN,2016,49.309077375597
Cote d'Ivoire,CIV,2016,8.89557845705252
Cameroon,CMR,2016,12.7046554004596
"Congo, Dem. Rep.",COD,2016,5.9003701210022
Colombia,COL,2016,57.1437492370605
Cabo Verde,CPV,2016,23.6934975221505
Costa Rica,CRI,2016,51.6516418457031
Caribbean small states,CSS,2016,22.4458999633789
Cuba,CUB,2016,35.0523986816406
Cyprus,CYP,2016,68.3754730224609
Czechia,CZE,2016,67.5056381225586
Germany,DEU,2016,67.9464111328125
Denmark,DNK,2016,82.1714935302734
Dominican Republic,DOM,2016,54.498998211862
Algeria,DZA,2016,43.9040620880927
East Asia & Pacific (excluding high income),EAP,2016,43.1053314208984
Early-demographic dividend,EAR,2016,29.7700099945068
East Asia & Pacific,EAS,2016,45.9389686584473
Europe & Central Asia (excluding high income),ECA,2016,63.0641899108887
Europe & Central Asia,ECS,2016,68.9127578735352
"Egypt, Arab Rep.",EGY,2016,31.8731307983398
Euro area,EMU,2016,72.2064819335938
Eritrea,ERI,2016,3.20262002944946
Spain,ESP,2016,89.810791015625
Estonia,EST,2016,73.0334320068359
European Union,EUU,2016,70.514030456543
Fragile and conflict affected situations,FCS,2016,14.7394104003906
Finland,FIN,2016,89.3280029296875
Fiji,FJI,2016,77.5601234063116
France,FRA,2016,64.7276763916016
United Kingdom,GBR,2016,58.083869934082
Georgia,GEO,2016,58.1988080034057
Ghana,GHA,2016,15.606270735823
Greece,GRC,2016,131.403213500977
Grenada,GRD,2016,96.7951431274414
High income,HIC,2016,76.8188171386719
"Hong Kong SAR, China",HKG,2016,70.3316379391101
Honduras,HND,2016,21.0025442228384
Heavily indebted poor countries (HIPC),HPC,2016,8.36925029754639
Croatia,HRV,2016,69.5889511108398
Hungary,HUN,2016,50.7361488342285
IBRD only,IBD,2016,41.3350410461426
IDA & IBRD total,IBT,2016,32.1406402587891
IDA total,IDA,2016,10.4179496765137
IDA blend,IDB,2016,9.36579990386963
Indonesia,IDN,2016,34.8307173410877
IDA only,IDX,2016,10.9488000869751
India,IND,2016,27.3043573857643
Ireland,IRL,2016,77.5571365356445
"Iran, Islamic Rep.",IRN,2016,67.9112319946289
Iceland,ISL,2016,74.7006301879883
Israel,ISR,2016,61.4426498413086
Italy,ITA,2016,61.3571014404297
Jordan,JOR,2016,34.0612635636995
Japan,JPN,2016,62.4975395202637
Kazakhstan,KAZ,2016,46.0492258820674
Kenya,KEN,2016,11.6347883294504
Kyrgyz Republic,KGZ,2016,44.5886036787376
"Korea, Rep.",KOR,2016,93.6577224731445
Kuwait,KWT,2016,59.2213394214596
Latin America & Caribbean (excluding high income),LAC,2016,47.6427688598633
Lao PDR,LAO,2016,17.0880719461771
Lebanon,LBN,2016,42.5074771456909
St. Lucia,LCA,2016,19.7992000579834
Latin America & Caribbean,LCN,2016,50.3843383789062
Least developed countries: UN classification,LDC,2016,9.60595035552979
Low income,LIC,2016,8.71317005157471
Liechtenstein,LIE,2016,35.0226211547852
Sri Lanka,LKA,2016,17.1510485178135
Lower middle income,LMC,2016,21.8519096374512
Low & middle income,LMY,2016,31.5065193176269
Late-demographic dividend,LTE,2016,49.5272407531738
Lithuania,LTU,2016,74.0858306884766
Luxembourg,LUX,2016,19.9203605651856
Latvia,LVA,2016,80.6048126220703
"Macao SAR, China",MAC,2016,79.925
Morocco,MAR,2016,32.0952579243239
Monaco,MCO,2016,53.5667991638184
Moldova,MDA,2016,52.8435823784374
Madagascar,MDG,2016,4.6583858057243
"Middle East, North Africa, Afghanistan & Pakistan",MEA,2016,27.0987300872803
Mexico,MEX,2016,38.589771270752
Marshall Islands,MHL,2016,36.6609294320138
Middle income,MIC,2016,34.3544692993164
Malta,MLT,2016,49.2171897888184
Montenegro,MNE,2016,59.1839218139648
Mongolia,MNG,2016,65.2477111816406
Mozambique,MOZ,2016,7.34197304077013
Mauritania,MRT,2016,5.56245834327609
Mauritius,MUS,2016,38.4107692617261
Malaysia,MYS,2016,45.4034659569972
North America,NAC,2016,86.9502792358398
Namibia,NAM,2016,21.4367036193
Niger,NER,2016,3.45043638449437
Netherlands,NLD,2016,79.8454895019531
Norway,NOR,2016,81.8827285766602
Nepal,NPL,2016,11.0932748536215
New Zealand,NZL,2016,81.8633575439453
OECD members,OED,2016,73.9402770996094
Oman,OMN,2016,46.8235059845958
Other small states,OSS,2016,19.365930557251
Pakistan,PAK,2016,8.31973903550878
Panama,PAN,2016,48.3799959758914
Peru,PER,2016,73.2223205566406
Philippines,PHL,2016,38.3447414525513
Poland,POL,2016,69.8503799438477
Pre-demographic dividend,PRE,2016,8.31756973266602
Puerto Rico (US),PRI,2016,100.643406166336
Portugal,PRT,2016,63.2387504577637
West Bank and Gaza,PSE,2016,45.3924907557838
Pacific island small states,PSS,2016,20.3001098632812
Post-demographic dividend,PST,2016,78.0374298095703
Qatar,QAT,2016,14.8163562584538
Romania,ROU,2016,49.911319732666
Russian Federation,RUS,2016,83.860044350614
Rwanda,RWA,2016,7.57807264441764
South Asia,SAS,2016,25.5159492492676
Saudi Arabia,SAU,2016,63.9826623355369
Senegal,SEN,2016,10.8875992426245
Singapore,SGP,2016,83.9409778236648
El Salvador,SLV,2016,27.1794802471695
Serbia,SRB,2016,62.1369705200195
Sub-Saharan Africa (excluding high income),SSA,2016,8.84714984893799
Sub-Saharan Africa,SSF,2016,8.84762001037598
Small states,SST,2016,19.9832496643066
Slovak Republic,SVK,2016,50.3014488220215
Slovenia,SVN,2016,79.4747467041016
Sweden,SWE,2016,68.306037902832
Seychelles,SYC,2016,25.6358902463449
Syrian Arab Republic,SYR,2016,43.7606582641602
Turks and Caicos Islands,TCA,2016,11.0619469026549
East Asia & Pacific (IDA & IBRD countries),TEA,2016,43.3201484680176
Europe & Central Asia (IDA & IBRD countries),TEC,2016,68.5775833129883
Togo,TGO,2016,12.0913340463942
Thailand,THA,2016,49.3227291503798
Tajikistan,TJK,2016,28.5179100036621
Latin America & the Caribbean (IDA & IBRD countries),TLA,2016,50.4026489257812
South Asia (IDA & IBRD),TSA,2016,25.5159492492676
Sub-Saharan Africa (IDA & IBRD countries),TSS,2016,8.84762001037598
Tunisia,TUN,2016,31.2128105163574
Turkiye,TUR,2016,103.71558380127
Tanzania,TZA,2016,3.72893939925404
Ukraine,UKR,2016,77.0398374695438
Upper middle income,UMC,2016,48.6304512023926
Uruguay,URY,2016,59.6462945758069
United States,USA,2016,88.8350524902344
Uzbekistan,UZB,2016,8.33958377998093
St. Vincent and the Grenadines,VCT,2016,23.6683079677708
British Virgin Islands,VGB,2016,39.173320807891
Viet Nam,VNM,2016,29.0811980839409
World,WLD,2016,37.1431999206543
South Africa,ZAF,2016,18.9292980324153
Africa Eastern and Southern,AFE,2017,8.71269035339355
Africa Western and Central,AFW,2017,9.39776039123535
Albania,ALB,2017,58.0177836674929
Andorra,AND,2017,15.6664896441848
Arab World,ARB,2017,30.7080307006836
Argentina,ARG,2017,89.3297346952415
Armenia,ARM,2017,55.5065519523494
Australia,AUS,2017,109.993309020996
Austria,AUT,2017,83.8392562866211
Azerbaijan,AZE,2017,28.4670565431322
Burundi,BDI,2017,4.30528005798307
Belgium,BEL,2017,80.7738189697266
Benin,BEN,2017,11.337929725647
Burkina Faso,BFA,2017,5.8341880408112
Bangladesh,BGD,2017,18.5175604399834
Bulgaria,BGR,2017,81.2245864868164
Bahrain,BHR,2017,48.7280981931009
Bosnia and Herzegovina,BIH,2017,54.528678894043
Belarus,BLR,2017,89.4706479354735
Belize,BLZ,2017,24.731690676743
Bermuda,BMU,2017,21.8093700408936
Brazil,BRA,2017,50.7326316833496
Barbados,BRB,2017,51.0106696691866
Brunei Darussalam,BRN,2017,31.2433910195239
Bhutan,BTN,2017,14.8354989456323
Botswana,BWA,2017,21.4762885165012
Canada,CAN,2017,70.2687072753906
Central Europe and the Baltics,CEB,2017,64.2809066772461
Switzerland,CHE,2017,62.4597206115723
Chile,CHL,2017,89.921989440918
China,CHN,2017,51.0678812273407
Cote d'Ivoire,CIV,2017,9.52488768872621
Cameroon,CMR,2017,12.9818161813936
"Congo, Rep.",COG,2017,12.1461896896362
Colombia,COL,2017,58.3960418701172
Comoros,COM,2017,18.8190281456697
Cabo Verde,CPV,2017,24.5594648459854
Costa Rica,CRI,2017,54.4492301940918
Cuba,CUB,2017,41.1702416547293
Cyprus,CYP,2017,79.827522277832
Czechia,CZE,2017,67.7142181396484
Germany,DEU,2017,68.4692306518555
Denmark,DNK,2017,81.3220062255859
Dominican Republic,DOM,2017,59.9155940980465
Algeria,DZA,2017,49.177689984383
East Asia & Pacific (excluding high income),EAP,2017,43.858829498291
Early-demographic dividend,EAR,2017,30.3353500366211
East Asia & Pacific,EAS,2017,46.5590782165527
Europe & Central Asia (excluding high income),ECA,2017,66.7744674682617
Europe & Central Asia,ECS,2017,70.533203125
"Egypt, Arab Rep.",EGY,2017,33.1018892935221
Euro area,EMU,2017,73.6193008422852
Spain,ESP,2017,92.070182800293
Estonia,EST,2017,72.1369781494141
European Union,EUU,2017,71.7874526977539
Fragile and conflict affected situations,FCS,2017,14.7340002059937
Finland,FIN,2017,90.6983871459961
Fiji,FJI,2017,82.343551650893
France,FRA,2017,65.8022308349609
United Kingdom,GBR,2017,59.6282081604004
Georgia,GEO,2017,63.535040959252
Ghana,GHA,2017,16.2065694246062
Greece,GRC,2017,135.333923339844
Grenada,GRD,2017,98.6993408203125
High income,HIC,2017,76.9816284179688
"Hong Kong SAR, China",HKG,2017,72.9228515909643
Honduras,HND,2017,24.5585599156436
Heavily indebted poor countries (HIPC),HPC,2017,8.52756977081299
Croatia,HRV,2017,71.3775863647461
Hungary,HUN,2017,51.3840599060059
IBRD only,IBD,2017,42.1075210571289
IDA & IBRD total,IBT,2017,32.534610748291
IDA total,IDA,2017,10.5911903381348
IDA blend,IDB,2017,9.59840965270996
Indonesia,IDN,2017,35.967012362631
IDA only,IDX,2017,11.0960502624512
India,IND,2017,27.9090519049334
Ireland,IRL,2017,77.5191116333008
"Iran, Islamic Rep.",IRN,2017,66.351448059082
Iceland,ISL,2017,71.3372497558594
Israel,ISR,2017,60.3434600830078
Italy,ITA,2017,62.69580078125
Jordan,JOR,2017,28.6210570991622
Japan,JPN,2017,63.287540435791
Kazakhstan,KAZ,2017,49.9712092283595
Kenya,KEN,2017,11.8049232142021
Kyrgyz Republic,KGZ,2017,41.5760302696793
Cambodia,KHM,2017,12.5181529981862
"Korea, Rep.",KOR,2017,93.7230224609375
Kuwait,KWT,2017,54.9159622359267
Latin America & Caribbean (excluding high income),LAC,2017,49.1490287780762
Lao PDR,LAO,2017,15.4112577339384
Lebanon,LBN,2017,44.1878772500135
St. Lucia,LCA,2017,20.7471294403076
Latin America & Caribbean,LCN,2017,51.7569198608398
Least developed countries: UN classification,LDC,2017,9.68212985992432
Low income,LIC,2017,8.79467010498047
Liechtenstein,LIE,2017,35.6219291687012
Sri Lanka,LKA,2017,17.1941300290821
Lower middle income,LMC,2017,22.0319995880127
Low & middle income,LMY,2017,31.9152908325195
Lesotho,LSO,2017,10.3130654092878
Late-demographic dividend,LTE,2017,50.7083702087402
Lithuania,LTU,2017,76.5389785766602
Luxembourg,LUX,2017,19.5990200042725
Latvia,LVA,2017,88.0574264526367
"Macao SAR, China",MAC,2017,81.2655086848635
Morocco,MAR,2017,33.4735433090703
Moldova,MDA,2017,51.9490291393525
Madagascar,MDG,2017,5.07525058069797
Maldives,MDV,2017,33.3294981245829
"Middle East, North Africa, Afghanistan & Pakistan",MEA,2017,27.2971000671387
Mexico,MEX,2017,40.3390693664551
Middle income,MIC,2017,34.9058494567871
North Macedonia,MKD,2017,43.5097694396973
Malta,MLT,2017,54.0890197753906
Montenegro,MNE,2017,60.9102210998535
Mongolia,MNG,2017,64.4055709838867
Mozambique,MOZ,2017,7.24573099191356
Mauritania,MRT,2017,5.15614020144375
Mauritius,MUS,2017,39.6618786560902
Malaysia,MYS,2017,42.293211695146
North America,NAC,2017,86.4250564575195
Namibia,NAM,2017,22.4801755471009
Niger,NER,2017,3.66741981878978
Netherlands,NLD,2017,83.2009887695312
Norway,NOR,2017,83.7353363037109
Nepal,NPL,2017,11.4357824790838
New Zealand,NZL,2017,81.2698593139648
OECD members,OED,2017,74.7901000976562
Oman,OMN,2017,43.5767818520195
Other small states,OSS,2017,20.0034809112549
Pakistan,PAK,2017,8.62228080260493
Peru,PER,2017,71.2404708862305
Philippines,PHL,2017,33.6841018682349
Poland,POL,2017,70.6174621582031
Pre-demographic dividend,PRE,2017,8.40110015869141
Puerto Rico (US),PRI,2017,100.739404309645
Portugal,PRT,2017,64.2040176391602
West Bank and Gaza,PSE,2017,45.5044081379083
Pacific island small states,PSS,2017,21.0051193237305
Post-demographic dividend,PST,2017,78.2045822143555
Qatar,QAT,2017,16.7774362605473
Romania,ROU,2017,50.5108184814453
Russian Federation,RUS,2017,81.7051021681418
Rwanda,RWA,2017,7.34488296090452
South Asia,SAS,2017,26.079870223999
Saudi Arabia,SAU,2017,70.7471342981424
Senegal,SEN,2017,11.3494415127099
Singapore,SGP,2017,84.7929138455372
El Salvador,SLV,2017,27.6409104549006
Serbia,SRB,2017,66.4867401123047
Sub-Saharan Africa (excluding high income),SSA,2017,8.98270988464355
Sub-Saharan Africa,SSF,2017,8.98320960998535
Small states,SST,2017,20.5163993835449
Slovak Republic,SVK,2017,49.1256103515625
Slovenia,SVN,2017,79.2703475952148
Sweden,SWE,2017,70.4342498779297
Sint Maarten (Dutch part),SXM,2017,9.85608373310074
Seychelles,SYC,2017,42.2082018927445
Turks and Caicos Islands,TCA,2017,11.8171251452925
East Asia & Pacific (IDA & IBRD countries),TEA,2017,44.0927085876465
Europe & Central Asia (IDA & IBRD countries),TEC,2017,70.3993377685547
Togo,TGO,2017,12.3068653432672
Thailand,THA,2017,47.427491541895
Tajikistan,TJK,2017,30.2374706268311
Latin America & the Caribbean (IDA & IBRD countries),TLA,2017,51.7107086181641
South Asia (IDA & IBRD),TSA,2017,26.079870223999
Sub-Saharan Africa (IDA & IBRD countries),TSS,2017,8.98320960998535
Tunisia,TUN,2017,30.9277496337891
Turkiye,TUR,2017,110.534072875977
Tanzania,TZA,2017,4.78205361153138
Ukraine,UKR,2017,80.1990246943391
Upper middle income,UMC,2017,50.1707000732422
Uruguay,URY,2017,59.7518904286933
United States,USA,2017,88.1673889160156
Uzbekistan,UZB,2017,8.64750307019382
St. Vincent and the Grenadines,VCT,2017,25.7215423689679
Viet Nam,VNM,2017,25.9526307046456
World,WLD,2017,37.4994316101074
Samoa,WSM,2017,13.2596995097127
South Africa,ZAF,2017,21.0902909603212
Africa Eastern and Southern,AFE,2018,8.7509298324585
Afghanistan,AFG,2018,9.99592018127441
Africa Western and Central,AFW,2018,9.58899021148682
Albania,ALB,2018,56.0802964109938
Andorra,AND,2018,15.7132150886835
Arab World,ARB,2018,31.8304405212402
United Arab Emirates,ARE,2018,53.2113281680102
Argentina,ARG,2018,91.0846512732766
Armenia,ARM,2018,57.4585357681354
Australia,AUS,2018,103.322090148926
Austria,AUT,2018,85.8698883056641
Azerbaijan,AZE,2018,28.9724903670069
Burundi,BDI,2018,4.55281922933846
Belgium,BEL,2018,79.1237487792969
Benin,BEN,2018,11.5739097595215
Burkina Faso,BFA,2018,6.31826110291158
Bangladesh,BGD,2018,19.5710492453779
Bulgaria,BGR,2018,83.134880065918
Bahrain,BHR,2018,50.2628341348842
Bosnia and Herzegovina,BIH,2018,49.7987518310547
Belarus,BLR,2018,84.7097808751504
Belize,BLZ,2018,24.5883446033139
Bermuda,BMU,2018,22.3407592773438
Brazil,BRA,2018,52.05712890625
Barbados,BRB,2018,45.8751983077737
Brunei Darussalam,BRN,2018,27.9285989469629
Bhutan,BTN,2018,14.9303808051574
Canada,CAN,2018,69.3507232666016
Central Europe and the Baltics,CEB,2018,64.793212890625
Switzerland,CHE,2018,64.3533935546875
Chile,CHL,2018,91.1974792480469
China,CHN,2018,53.3987984572814
Cameroon,CMR,2018,14.5449548868213
Colombia,COL,2018,57.3205413818359
Cabo Verde,CPV,2018,24.2905954414767
Costa Rica,CRI,2018,52.6140899658203
Cuba,CUB,2018,42.3506387045364
Cyprus,CYP,2018,86.5899276733398
Czechia,CZE,2018,66.7902221679688
Germany,DEU,2018,69.1634292602539
Denmark,DNK,2018,81.1405487060547
Algeria,DZA,2018,52.8819387317527
East Asia & Pacific (excluding high income),EAP,2018,44.811351776123
Early-demographic dividend,EAR,2018,30.673189163208
East Asia & Pacific,EAS,2018,47.4009819030762
Europe & Central Asia (excluding high income),ECA,2018,69.4651870727539
Europe & Central Asia,ECS,2018,72.0409393310547
Ecuador,ECU,2018,47.3311832253279
"Egypt, Arab Rep.",EGY,2018,36.1230010986328
Euro area,EMU,2018,74.7783737182617
Spain,ESP,2018,92.5194931030273
Estonia,EST,2018,72.0659637451172
European Union,EUU,2018,72.9149475097656
Fragile and conflict affected situations,FCS,2018,14.6939496994019
Finland,FIN,2018,92.3850021362305
Fiji,FJI,2018,79.1464225438552
France,FRA,2018,67.5435180664062
United Kingdom,GBR,2018,61.1377716064453
Georgia,GEO,2018,66.747813990461
Ghana,GHA,2018,15.9045597520982
Greece,GRC,2018,140.950317382812
Grenada,GRD,2018,99.9891967773438
High income,HIC,2018,77.3113708496094
"Hong Kong SAR, China",HKG,2018,78.2463196011546
Honduras,HND,2018,26.3838242053705
Heavily indebted poor countries (HIPC),HPC,2018,8.68200016021729
Croatia,HRV,2018,72.8625411987305
Hungary,HUN,2018,52.5629386901855
IBRD only,IBD,2018,42.8337593078613
IDA & IBRD total,IBT,2018,32.9231109619141
IDA total,IDA,2018,10.8586797714233
IDA blend,IDB,2018,9.50831985473633
Indonesia,IDN,2018,36.1494878042588
