country,country_code,year,gov_exp_pct_gdp,lit_rate_adult_pct,pri_comp_rate_pct,pupil_teacher_primary,pupil_teacher_secondary,school_enrol_primary_pct,school_enrol_secondary_pct,school_enrol_tertiary_pct
Arab World,ARB,2019,3.860209942,74.80751801,81.52674103,,,91.25904846,69.1184082,33.15542984
Argentina,ARG,2015,5.776110172,,106.0531311,,,113.7781982,107.5490723,83.76258087
Argentina,ARG,2016,5.545489788,,106.5444489,,,112.9442673,109.6459427,86.61788177
Argentina,ARG,2017,5.454319954,,101.58181,,,111.6814575,110.4124069,89.23294067
Argentina,ARG,2018,4.877739906,,100.2818069,,,111.5456085,109.6969986,90.97283173
Argentina,ARG,2019,4.771649837,,100.3828964,,,111.3653183,110.4985275,95.0775528
Armenia,ARM,2015,2.80591011,,94.22637939,,,102.3826904,85.79370117,45.46743011
Armenia,ARM,2016,2.75812006,100.0,105.0094223,,,103.0617065,,51.74600983
Armenia,ARM,2017,2.707590103,100.0,102.7634277,,,101.619812,,53.59075928
Armenia,ARM,2018,2.255867958,,100.2370682,15.41859,8.01689,100.0613098,88.5765686,56.16505051
Armenia,ARM,2019,2.571912289,,97.22709656,,,97.32314301,93.61714935,53.30681992
Aruba,ABW,2015,5.888269901,,,,,115.8881897,,16.78181076
Aruba,ABW,2016,5.491360188,,,,,114.1762918,,17.56377983
Aruba,ABW,2017,4.456180573,,,,,,,
Aruba,ABW,2018,4.548758984,,98.09725189,,,109.1999969,137.5371552,
Aruba,ABW,2019,4.435043335,,108.2335281,,,109.6978912,140.3136139,
Australia,AUS,2015,5.4628582,,,,,101.6654892,159.1107635,119.67939
Australia,AUS,2016,5.43038559,,,,,101.180687,155.5943909,119.6827774
Australia,AUS,2017,5.321255684,,,,,100.6376572,153.5761261,109.993309
Australia,AUS,2018,5.409676075,,,,,100.3987122,136.105545,103.3220901
Australia,AUS,2019,5.508588791,,,,,100.1996994,144.0565643,109.7595596
Austria,AUT,2015,5.456580162,,99.39652252,10.58415,9.57663,101.104393,101.4115829,82.25630951
Austria,AUT,2016,5.47961998,,97.15097046,10.30374,9.41777,100.4280777,100.2279892,82.8496933
Austria,AUT,2017,5.371590137,,98.64917755,10.01653,9.32983,101.1045685,100.3378983,83.83925629
Austria,AUT,2018,5.226550102,,97.75398254,,,101.3703003,100.6925964,85.86988831
Austria,AUT,2019,5.217790127,,99.45897675,,,101.7762909,101.5436325,86.32343292
Azerbaijan,AZE,2015,2.951679945,100.0,103.2802124,13.49787,,106.6014862,84.80985864,25.48320007
Azerbaijan,AZE,2016,2.903409958,100.0,111.3019104,15.48619,,106.4317398,74.92250393,27.23686028
Azerbaijan,AZE,2017,2.473819971,100.0,107.1721725,15.458,,103.2940979,77.40803437,28.46706009
Azerbaijan,AZE,2018,2.455430031,,100.2199478,15.42982,7.60984,99.7220993,108.5179367,28.97249031
Azerbaijan,AZE,2019,3.176460028,100.0,100.3833389,,,97.93534851,107.8998718,32.92218018
"Bahamas, The",BHS,2015,2.296975136,,,21.04116,11.79222,,,
"Bahamas, The",BHS,2016,2.586606741,,,19.02855,11.75808,,,
"Bahamas, The",BHS,2017,2.691406488,,,,14.06865,,,
"Bahamas, The",BHS,2018,2.485194921,,,19.44891,12.48097,,,
